"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"25-29 years"	"25-29"	76042
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"30-34 years"	"30-34"	58769
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"35-39 years"	"35-39"	26269
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"40-44 years"	"40-44"	4595
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"45-49 years"	"45-49"	232
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"50 years and over"	"50+"	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"Under 15 years"	"15"	387
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"15-19 years"	"15-19"	28179
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"20-24 years"	"20-24"	67246
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"25-29 years"	"25-29"	75788
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"30-34 years"	"30-34"	61195
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"35-39 years"	"35-39"	26625
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"40-44 years"	"40-44"	4981
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"45-49 years"	"45-49"	254
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"50 years and over"	"50+"	11
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"Under 15 years"	"15"	313
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"15-19 years"	"15-19"	26817
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"20-24 years"	"20-24"	67509
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"25-29 years"	"25-29"	74725
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"30-34 years"	"30-34"	61179
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"35-39 years"	"35-39"	26563
